
2025/04/12 (21:57:44) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/12 (22:03:02) | ===> btop++ v.1.4.0
2025/04/12 (22:03:02) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/12 (22:03:25) | ===> btop++ v.1.4.0
2025/04/12 (22:03:25) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/12 (22:30:17) | ===> btop++ v.1.4.0
2025/04/12 (22:30:17) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/12 (22:31:32) | ===> btop++ v.1.4.0
2025/04/12 (22:31:32) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/13 (22:48:25) | ===> btop++ v.1.4.0
2025/04/13 (22:48:25) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/14 (10:40:12) | ===> btop++ v.1.4.0
2025/04/14 (10:40:12) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/14 (10:40:22) | ===> btop++ v.1.4.0
2025/04/14 (10:40:22) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/15 (00:51:39) | ===> btop++ v.1.4.0
2025/04/15 (00:51:39) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/19 (17:30:00) | ===> btop++ v.1.4.0
2025/04/19 (17:30:00) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/19 (17:30:13) | ===> btop++ v.1.4.0
2025/04/19 (17:30:13) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/19 (17:35:39) | ===> btop++ v.1.4.0
2025/04/19 (17:35:39) | WARNING: Intel GPU: Failed to initialize PMU
2025/04/19 (17:35:41) | WARNING: Failed to join _runner thread on exit!

2025/04/19 (17:39:39) | ===> btop++ v.1.4.0
2025/04/19 (17:39:39) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/19 (20:57:43) | ===> btop++ v.1.4.0
2025/04/19 (20:57:43) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/19 (20:58:12) | ===> btop++ v.1.4.0
2025/04/19 (20:58:12) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/19 (20:58:31) | ===> btop++ v.1.4.0
2025/04/19 (20:58:31) | WARNING: Intel GPU: Failed to initialize PMU
